Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
ARCHIMEDES ST & JOYCE ST,Casualty,VANCOUVER,2016,1,49.235789,-123.034256
ARGYLE DR & BRAEBURN ST,Casualty,VANCOUVER,2016,1,49.218925,-123.069695
ARGYLE ST & E 33RD AVE,Casualty,VANCOUVER,2016,1,49.240133,-123.071061
ARGYLE ST & E 41ST AVE,Casualty,VANCOUVER,2016,1,49.232629,-123.071514
ARGYLE ST & E 59TH AVE,Casualty,VANCOUVER,2016,1,49.216286,-123.071975
ARGYLE ST & E 64TH AVE,Casualty,VANCOUVER,2016,1,49.211963,-123.072046
ASH ST & W 13TH AVE,Casualty,VANCOUVER,2016,1,49.259493,-123.117658
ASH ST & W 16TH AVE,Casualty,VANCOUVER,2016,1,49.256945,-123.118128
ASH ST & W 17TH AVE,Casualty,VANCOUVER,2016,1,49.256069,-123.118159
ASH ST & W 26TH AVE,Casualty,VANCOUVER,2016,1,49.247998,-123.118497
ASH ST & W 29TH AVE,Casualty,VANCOUVER,2016,1,49.245242,-123.118573
ASH ST & W 39TH AVE,Casualty,VANCOUVER,2016,1,49.235451,-123.117805
ASH ST & W 49TH AVE,Casualty,VANCOUVER,2016,1,49.226132,-123.118119
ASH ST & W 61ST AVE,Casualty,VANCOUVER,2016,1,49.21509,-123.120121
ASH ST & W 8TH AVE,Casualty,VANCOUVER,2016,1,49.264176,-123.117463
ASH ST & W KING EDWARD AVE,Casualty,VANCOUVER,2016,1,49.249035,-123.118414
ATHLETES WAY & ONTARIO ST,Casualty,VANCOUVER,2016,1,49.271506,-123.104592
AUBREY PL & E 29TH AVE & PRINCE EDWARD ST,Casualty,VANCOUVER,2016,1,49.244359,-123.09689
AUSTREY AVE & MCHARDY ST,Casualty,VANCOUVER,2016,1,49.238246,-123.035816
BAILLIE ST & W 41ST AVE,Casualty,VANCOUVER,2016,1,49.233819,-123.122378
BALACLAVA ST & W 12TH AVE,Casualty,VANCOUVER,2016,1,49.261475,-123.174055
BALACLAVA ST & W 29TH AVE,Casualty,VANCOUVER,2016,1,49.246126,-123.175731
BALACLAVA ST & W 2ND AVE,Casualty,VANCOUVER,2016,1,49.270246,-123.173743
BALACLAVA ST & W 49TH AVE,Casualty,VANCOUVER,2016,1,49.22741,-123.175873
BALACLAVA ST & W 4TH AVE,Casualty,VANCOUVER,2016,1,49.268448,-123.173815
BALACLAVA ST & W 6TH AVE,Casualty,VANCOUVER,2016,1,49.266723,-123.173899
